id,description,brand,withdrawn_from_range,category,merged,unique_key,updated_at
846b0015-5d0a-a001-11eb-27fce317c880,"Полка стеклянная с бортиком, стекло, сплав металлов, Cadiss Milardo, CADSMG0M44",Milardo,True,Аксессуары для ванной комнаты,"Полка стеклянная с бортиком, стекло, сплав металлов, Cadiss Milardo, CADSMG0M44 | Brand: Milardo | Category: Аксессуары для ванной комнаты",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-27fd19b9d07c,"Полотенцесушитель, сплав металлов, Cadiss, Milardo, CADSM10M49",Milardo,True,Аксессуары для ванной комнаты,"Полотенцесушитель, сплав металлов, Cadiss, Milardo, CADSM10M49 | Brand: Milardo | Category: Аксессуары для ванной комнаты",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-1ccb4c539ce0,"Умывальник мебельный, 80 см, 010, IDDIS, 0108000i28",IDDIS,True,Мебель для ванной,"Умывальник мебельный, 80 см, 010, IDDIS, 0108000i28 | Brand: IDDIS | Category: Мебель для ванной",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-23356472819c,"Зеркало 80 см, Brick, IDDIS, BRI8000i98",IDDIS,True,Мебель для ванной,"Зеркало 80 см, Brick, IDDIS, BRI8000i98 | Brand: IDDIS | Category: Мебель для ванной",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-2335a4b9cddd,"Зеркало 100 см, Brick, IDDIS, BRI1000i98",IDDIS,True,Мебель для ванной,"Зеркало 100 см, Brick, IDDIS, BRI1000i98 | Brand: IDDIS | Category: Мебель для ванной",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-233c1c361ec6,"Зеркало 100 см, Cloud, IDDIS, CLO1000i98",IDDIS,True,Мебель для ванной,"Зеркало 100 см, Cloud, IDDIS, CLO1000i98 | Brand: IDDIS | Category: Мебель для ванной",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-27db4b80e193,"Тумба подвесная, белый, 80 см, Edifice, IDDIS, EDI80W0i95. Подходит умывальник 0108000i28",IDDIS,True,Мебель для ванной,"Тумба подвесная, белый, 80 см, Edifice, IDDIS, EDI80W0i95. Подходит умывальник 0108000i28 | Brand: IDDIS | Category: Мебель для ванной",,2025-03-28 11:57:34.404110+00:00
86920027-0e37-9cfd-11e1-fd52bb97e128,"B35-51 Смеситель для биде, хром",Rossinka,True,Смесители,"B35-51 Смеситель для биде, хром | Brand: Rossinka | Category: Смесители",-2.9542683290082473e+18,2025-03-28 10:10:51.104148+00:00
8263001e-6749-51e8-11e7-444f48e9b099,HB54 Кран-букс для смесителей (переключатель в корпусе),Haiba,True,Запчасти для смесителей,HB54 Кран-букс для смесителей (переключатель в корпусе) | Brand: Haiba | Category: Запчасти для смесителей,,2025-03-28 12:47:09.146742+00:00
846b0015-5d0a-a001-11eb-306cf2f8c8f7,Душевая система ПРОФСАН ПСМ-300-8 STEEL нержавеющая сталь AISI-304 тип См-ВДшОРНТрА PSM-300-8 (евро,ПРОФСАН,True,Душ,Душевая система ПРОФСАН ПСМ-300-8 STEEL нержавеющая сталь AISI-304 тип См-ВДшОРНТрА PSM-300-8 (евро | Brand: ПРОФСАН | Category: Душ,,2025-03-28 11:57:34.404110+00:00
86920027-0e37-9cfd-11e2-021058a26c50,"""Запчасти для смесителей"" LM8553С Переключатель - дивертор для ""Юнит"" LM4502C",Lemark,True,Запчасти для смесителей,"""Запчасти для смесителей"" LM8553С Переключатель - дивертор для ""Юнит"" LM4502C | Brand: Lemark | Category: Запчасти для смесителей",8.4361752183882e+18,2025-03-28 10:10:51.104148+00:00
86060015-5d0a-a001-11eb-ba143d6adf2a,Душевая система со смесителем AVRORA Logo AV3440,Avrora,True,Душ,Душевая система со смесителем AVRORA Logo AV3440 | Brand: Avrora | Category: Душ,-5.262659513710413e+18,2025-03-28 10:10:51.104148+00:00
86f8001e-6749-51e8-11e5-2a01aed4ba4a,"DA1424701D08 Душевая стойка, хром",D&K,True,Душ,"DA1424701D08 Душевая стойка, хром | Brand: D&K | Category: Душ",8.574797086267114e+18,2025-03-28 10:10:51.104148+00:00
8aef0015-5d3c-8c01-11ec-d6685118a906,"""Аксессуары"" LM8123BL Лейка душевая 3-функциональная 80х260 мм, черный",Lemark,True,Душ,"""Аксессуары"" LM8123BL Лейка душевая 3-функциональная 80х260 мм, черный | Brand: Lemark | Category: Душ",-6.776314323313058e+18,2025-03-28 10:10:51.104148+00:00
846b0015-5d0a-a001-11eb-233f5f7a1f41,"Смеситель для душа, YA33177C, Vane, комплектный",IDDIS,True,Смесители,"Смеситель для душа, YA33177C, Vane, комплектный | Brand: IDDIS | Category: Смесители",-2.4528391983240325e+18,2025-03-28 10:10:51.104148+00:00
8aa70015-5d0a-a001-11e9-3e7c8ba28fc4,"""Drop"" Подставка д/зубн. щеток пластик голубой B0458-3",Аквалиния,True,Аксессуары для ванной комнаты,"""Drop"" Подставка д/зубн. щеток пластик голубой B0458-3 | Brand: Аквалиния | Category: Аксессуары для ванной комнаты",-3.51328108818624e+18,2025-03-28 10:10:51.104148+00:00
86060015-5d0a-a001-11eb-9b6628aee944,"DA1432126 Смеситель для раковины, белый матовый",D&K,True,Смесители,"DA1432126 Смеситель для раковины, белый матовый | Brand: D&K | Category: Смесители",-4.803169019080862e+18,2025-03-28 10:10:51.104148+00:00
86060015-5d0a-a001-11eb-ba1232a49d5b,Смеситель для кухни AVRORA Line AV3121 с высоким поворотным изливом,Avrora,True,Смесители,Смеситель для кухни AVRORA Line AV3121 с высоким поворотным изливом | Brand: Avrora | Category: Смесители,-3.46593627916596e+17,2025-03-28 10:10:51.104148+00:00
86060015-5d0a-a001-11eb-ba12a2a6d861,Смеситель для кухни AVRORA Elite AV3221 с высоким поворотным изливом в матовом черном цвете,Avrora,True,Смесители,Смеситель для кухни AVRORA Elite AV3221 с высоким поворотным изливом в матовом черном цвете | Brand: Avrora | Category: Смесители,-8.169833389153175e+18,2025-03-28 10:10:51.104148+00:00
